index,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
110940,2018-03-19,10:00,0.0,886.6,886.7,886.2,114,20.0,18.0,20.0,18.7,18.0,17.3,92,88,88,49,3.5,2.4,CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143.0
372617,2011-04-05,17:00,0.0,974.4,-9999.0,-9999.0,913,29.1,20.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,62,-9999,-9999.0,-9999.0,CO,MS,AGUA CLARA,A756,-20.44444444,-52.87555554,338.0
321540,2008-12-12,12:00,0.0,974.1,974.1,973.7,1891,27.5,21.0,27.7,25.1,21.9,20.5,79,67,68,108,2.8,1.0,CO,MS,RIO BRILHANTE,A743,-21.77472221,-54.52805554,329.0
334921,2015-07-29,03:00,0.0,972.1,972.3,971.8,-9999,15.7,13.9,17.3,15.1,14.4,13.3,91,82,89,349,1.9,0.4,CO,MS,MARACAJU,A731,-21.60916666,-55.17777777,400.0
162371,2011-06-01,02:00,0.0,932.9,932.9,932.7,-9999,19.3,13.7,19.8,18.9,14.1,13.4,73,66,70,169,3.8,2.5,CO,MT,CAMPO VERDE,A912,-15.52749999,-55.13555555,749.0
90520,2014-02-05,19:00,0.0,954.8,955.6,954.8,2794,35.2,10.6,36.3,34.1,12.1,10.4,25,22,23,41,7.6,3.3,CO,MS,CASSILANDIA,A742,-19.12249999,-51.72083332,516.0
18096,2008-08-04,11:00,0.0,995.9,995.9,995.6,137,21.3,20.6,21.3,20.8,20.7,20.1,96,96,96,274,1.0,0.3,CO,MT,PORTO ESTRELA,A935,-15.54638888,-57.38166666,145.0
129998,2015-03-07,16:00,0.0,1001.3,1002.7,1001.3,-9999,32.6,24.4,32.6,30.6,25.0,23.6,71,62,62,236,0.0,0.0,CO,MS,PORTO MURTINHO,A723,-21.70583333,-57.88666666,85.0
394798,2012-03-09,22:00,0.0,913.3,913.3,912.7,-9999,25.3,13.9,26.6,25.3,14.6,13.9,50,47,49,63,1.8,0.1,CO,GO,CATALAO,A034,-18.15777777,-47.92638888,890.0
263075,2021-02-11,11:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,BRASILANDIA,S705,-21.298278,-52.068917,345.0
189587,2009-08-13,17:00,0.0,985.4,986.4,985.4,2887,34.8,12.8,34.8,32.9,13.5,11.9,31,26,27,55,5.1,1.2,CO,MS,COXIM,A720,-18.51222222,-54.73583333,252.0
157574,2020-12-09,14:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,NOVA ANDRADINA,S713,-22.078528,-53.465889,372.0
23748,2016-09-14,12:00,0.0,924.1,924.2,923.7,2091,26.5,8.3,26.8,24.7,8.7,8.3,35,31,32,62,12.9,6.0,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
102910,2009-09-30,22:00,0.0,973.7,973.8,973.7,104,26.4,20.3,29.9,26.4,20.3,18.0,69,49,69,115,2.5,0.9,CO,MT,NOVA MARINGA,A928,-13.06555555,-57.15611111,353.0
43405,2018-09-18,07:00,0.0,970.9,971.0,970.8,-9999,16.3,15.1,17.1,16.3,15.1,14.5,92,86,92,330,0.0,0.0,CO,MS,ITAQUIRAI,A752,-23.44944444,-54.18166666,336.0
262484,2013-08-06,04:00,0.0,1002.4,1002.7,1002.4,-9999,17.3,12.9,18.1,17.2,13.3,12.7,76,72,76,133,0.0,0.0,CO,MS,NHUMIRIM,A717,-18.98888888,-56.62305554,91.0
373837,2009-09-04,13:00,0.0,983.9,983.9,983.5,1883,32.0,20.9,32.0,28.5,21.2,19.9,61,52,52,297,3.5,1.6,CO,MT,JUARA,A914,-11.28027777,-57.52666666,260.0
94330,2015-02-09,12:00,0.2,956.6,956.6,955.9,763,23.2,20.8,23.5,22.6,21.1,20.7,90,85,87,16,7.1,4.1,CO,MS,SONORA,A761,-17.89638888,-54.45361111,486.0
15393,2001-07-07,09:00,0.0,934.3,934.4,934.2,-9999,15.4,7.9,15.6,15.2,7.9,7.5,61,59,61,76,6.6,4.8,CO,GO,MORRINHOS,A003,-17.71666667,-49.1,771.42
41758,2020-12-14,09:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,PARANAIBA,A710,-19.695517,-51.181769,408.06
54021,2015-03-02,21:00,-9999.0,965.7,965.7,964.9,178,23.7,21.7,23.7,23.5,21.7,20.9,88,85,88,91,0.0,0.0,CO,MT,SORRISO,A904,-12.55,-55.71666666,380.0
9016,2013-08-30,00:00,0.0,990.1,990.1,989.7,-9999,19.8,7.4,21.8,19.1,8.0,5.9,48,36,45,274,1.2,0.1,CO,MT,VILA BELA DA SANTISSIMA TRINDADE,A922,-15.06277777,-59.87277777,222.0
65227,2007-12-27,19:00,0.0,949.0,949.6,949.0,2761,29.6,18.1,30.1,29.4,18.5,17.0,51,47,50,306,8.6,3.9,CO,MS,CAMPO GRANDE,A702,-20.45,-54.6,530.0
277674,2014-09-12,18:00,0.0,943.4,944.4,943.4,1466,31.4,20.7,33.3,31.1,20.7,14.7,53,34,53,89,5.4,0.3,CO,MT,COMODORO,A913,-13.70861111,-59.76277777,591.0
296753,2012-02-23,05:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,SANTO ANTONIO DO LESTE,A931,-14.92777777,-53.8836111,648.0
268708,2016-04-10,06:00,0.0,880.2,880.7,880.2,-9999,20.7,12.8,21.2,20.7,13.0,12.6,61,59,61,82,1.7,0.5,CO,GO,CRISTALINA,A036,-16.78805555,-47.61166666,1202.0
195532,2020-04-05,04:00,0.0,974.8,975.0,974.7,-9999,20.0,15.9,21.1,19.8,16.2,15.0,79,68,77,311,1.8,0.0,CO,MS,RIO BRILHANTE,A743,-21.774944,-54.528108,324.31
26070,2019-04-04,19:00,0.0,974.1,974.8,974.1,1482,27.4,21.7,29.5,27.4,24.7,21.7,77,71,71,310,7.7,2.6,CO,MT,CARLINDA,A926,-9.970586,-55.827543,293.71
162247,2016-06-21,07:00,0.0,990.6,990.7,990.4,-9999,20.7,17.9,21.2,20.7,18.4,17.9,85,83,84,288,3.9,1.8,CO,MT,SAO FELIX  DO ARAGUAIA,A921,-11.61888888,-50.72777777,218.0
94575,2020-10-07,15:00,0.0,973.6,974.5,973.6,2956,38.2,18.7,38.3,36.7,20.6,18.4,38,32,32,341,5.2,2.1,CO,MS,BONITO,S704,-21.246756,-56.450442,329.0
207945,2020-12-27,07:00,0.0,965.0,965.1,965.0,-9999,21.5,20.5,21.9,21.5,20.8,20.5,94,94,94,236,0.0,0.0,CO,MT,JUINA,A920,-11.375126,-58.774785,365.39
27456,2011-02-19,00:00,0.0,912.7,912.7,912.0,-9999,24.2,17.2,24.7,24.2,17.5,17.0,65,63,65,40,2.8,0.8,CO,GO,CATALAO,A034,-18.15777777,-47.92638888,890.0
48086,2015-06-28,14:00,0.0,882.9,883.3,882.9,2306,18.2,11.6,18.4,17.2,11.6,10.9,68,63,65,86,10.5,5.4,CO,GO,ALTO PARAISO DE GOIAS,A024,-14.13305554,-47.52305554,1260.0
360285,2017-11-18,21:00,0.0,909.4,909.4,908.7,151,22.8,18.9,23.0,22.8,19.1,18.7,79,77,79,357,3.6,0.4,CO,GO,CATALAO,A034,-18.15777777,-47.92638888,890.0
314650,2010-04-21,10:00,0.0,935.7,935.8,935.5,-9999,21.2,17.9,21.8,21.2,17.9,17.8,82,78,81,17,4.3,2.2,CO,MS,PONTA PORA,A703,-22.5525,-55.71638888,675.0
391073,2009-08-23,17:00,1.6,953.3,954.8,953.3,354,15.9,14.4,15.9,15.2,14.4,13.9,92,91,91,46,12.9,8.6,CO,MS,CAMPO GRANDE,A702,-20.45,-54.6,530.0
106672,2012-05-21,16:00,0.0,1000.6,1002.1,1000.6,1101,24.1,18.4,24.1,23.4,18.4,17.1,71,67,71,146,4.6,2.1,CO,MS,MIRANDA,A722,-20.38333333,-56.41666666,140.0
2435,2007-04-12,11:00,0.0,960.5,960.5,959.8,495,22.8,21.1,22.8,20.8,21.4,20.4,98,90,90,175,0.6,0.0,CO,MT,PARANATINGA,A915,-14.42138888,-54.03527777,474.0
31838,2009-08-10,20:00,0.0,929.5,929.6,929.3,1190,26.3,7.5,27.7,26.0,8.5,7.3,31,29,30,218,6.9,2.4,CO,GO,RIO VERDE,A025,-17.78583333,-50.98138888,782.0
381642,2016-06-12,18:00,0.0,975.2,976.0,975.2,2216,18.0,-5.5,18.2,17.2,-3.9,-6.6,23,18,20,236,5.7,1.8,CO,MS,AMAMBAI,A750,-23.0025,-55.32944443,431.0
214632,2019-07-03,00:00,0.0,963.6,963.6,962.6,-9999,18.7,15.1,19.9,18.7,15.6,15.0,79,75,79,58,0.0,0.0,CO,MS,MARACAJU,A731,-21.609036,-55.177531,388.94
324509,2007-07-23,05:00,0.0,992.8,993.2,992.8,-9999,24.9,20.0,26.9,24.7,20.2,19.4,75,63,74,259,2.3,1.6,CO,MT,CUIABA,A901,-15.55916666,-56.72944443,240.0
267228,2011-03-25,12:00,-9999.0,922.8,922.9,922.1,2182,25.6,19.1,25.6,24.2,19.4,18.6,72,66,67,80,7.9,3.6,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
6605,2018-07-06,23:00,0.0,944.2,944.2,943.9,-9999,21.5,10.4,22.5,20.8,10.5,10.0,51,46,49,23,1.2,0.5,CO,MS,BANDEIRANTES,S703,-19.94555555,-54.3686111,624.0
315515,2018-02-10,11:00,0.0,945.2,945.2,944.4,627,23.0,20.4,23.0,21.8,20.6,19.8,90,85,85,340,2.6,0.0,CO,GO,EDEIA,A029,-17.33694444,-49.91472222,608.0
371646,2018-07-09,06:00,0.0,952.7,953.1,952.7,-9999,17.9,11.0,19.8,17.6,11.0,10.4,65,56,64,10,2.2,0.4,CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.24805555,-46.88972221,1253.0
325004,2013-10-17,20:00,0.0,940.5,940.5,940.3,827,26.0,20.4,27.0,25.8,20.9,19.4,73,64,71,25,7.8,3.2,CO,GO,IPORA,A028,-16.42305554,-51.14805555,625.0
271834,2014-10-18,13:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,NHUMIRIM,A717,-18.98888888,-56.62305554,91.0
26528,2015-05-15,10:00,0.0,960.3,960.3,959.6,7,20.3,19.8,20.3,20.2,19.8,19.7,97,97,97,110,1.9,0.4,CO,MT,PARANATINGA,A915,-14.42138888,-54.03527777,474.0
130419,2017-11-21,03:00,0.0,965.4,965.9,965.3,-9999,24.9,21.2,25.6,24.9,21.4,21.2,80,77,80,104,3.3,1.7,CO,MS,IVINHEMA,A709,-22.30666666,-53.82722221,373.8
51188,2011-02-13,11:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,S.J. DO RIO CLARO,A903,-13.45,-56.66666666,350.0
204465,2015-09-06,11:00,0.0,951.4,951.4,950.6,539,20.4,13.8,20.4,16.8,13.8,12.3,78,66,66,258,1.5,0.1,CO,GO,ITAPACI,A015,-14.98027777,-49.53944444,522.0
185528,2012-06-25,20:00,0.0,969.6,969.9,969.6,739,21.9,15.4,24.1,21.9,15.8,14.7,67,56,66,168,4.6,1.5,CO,MS,AMAMBAI,A750,-23.0025,-55.32944443,431.0
4537,2016-07-08,01:00,0.0,956.9,957.0,956.6,-9999,22.3,16.7,23.1,22.2,16.7,16.5,71,67,71,236,2.5,0.7,CO,MT,CAMPO NOVO DOS PARECIS,A905,-13.78333333,-57.83333333,570.0
137624,2011-06-08,08:00,0.0,977.5,977.5,976.7,-9999,5.5,5.2,8.2,5.5,7.9,5.2,98,97,98,357,1.9,0.0,CO,MS,RIO BRILHANTE,A743,-21.77472221,-54.52805554,329.0
108437,2011-02-07,05:00,-9999.0,946.3,946.5,946.2,-9999,22.3,21.0,22.8,22.2,21.5,21.0,94,92,92,71,3.2,2.2,CO,MT,ITIQUIRA,A933,-17.29722221,-54.83722221,585.0
402050,2008-08-19,02:00,0.0,997.3,997.5,996.9,-9999,19.9,15.8,22.7,19.7,16.0,14.8,78,63,77,184,4.4,0.5,CO,MS,MIRANDA,A722,-20.38333333,-56.41666666,140.0
134349,2006-12-06,21:00,0.0,977.1,977.2,976.9,316,26.7,-6.0,27.5,26.7,-5.2,-7.2,11,10,11,323,3.6,0.9,CO,MT,JUARA,A914,-11.28027777,-57.52666666,260.0
280398,2013-03-24,06:00,0.0,929.1,929.7,929.1,-9999,21.2,19.9,21.4,21.2,20.0,19.8,93,91,92,38,3.6,3.2,CO,MS,COSTA RICA,A760,-18.82277777,-53.26722221,730.0
32303,2013-04-27,07:00,0.0,958.3,958.7,958.3,-9999,17.3,16.4,17.6,17.0,16.8,16.0,95,94,95,89,1.1,0.0,CO,GO,ITUMBIARA,A035,-18.40972222,-49.19194444,488.0
378395,2017-12-13,11:00,0.0,938.2,938.2,937.6,275,21.4,19.7,21.4,21.1,19.9,19.5,92,90,90,35,4.3,1.5,CO,GO,GOIANESIA,A022,-15.22027777,-48.99027777,667.0
249213,2019-06-13,21:00,0.0,961.4,961.4,961.1,264,25.5,14.8,29.1,25.5,14.8,13.3,52,39,52,136,3.0,0.2,CO,MS,DOURADOS,A721,-22.19392,-54.911355,463.3
136017,2009-07-02,15:00,0.0,933.3,934.1,933.3,2328,29.2,5.2,29.4,27.6,7.7,4.7,27,21,22,27,3.5,1.0,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
56133,2011-05-29,21:00,0.0,987.9,988.0,987.9,615,27.4,18.6,28.8,27.4,18.6,17.2,58,49,58,123,3.2,1.2,CO,MT,VILA BELA DA SANTISSIMA TRINDADE,A922,-15.06277777,-59.87277777,222.0
132254,2014-02-05,14:00,0.0,921.5,921.8,921.5,3619,29.4,16.4,29.5,28.0,17.4,16.4,51,45,46,116,9.7,4.8,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
68966,2019-05-22,01:00,0.0,932.5,932.5,932.2,-9999,19.9,14.7,21.4,19.9,14.7,14.4,72,65,72,252,1.9,1.1,CO,GO,CAIAPONIA,A023,-16.966841,-51.817567,740.1
178329,2020-08-13,07:00,0.0,976.9,977.1,976.7,-9999,19.4,11.1,20.5,19.4,11.8,11.1,59,56,59,193,2.8,1.2,CO,MT,RONDONOPOLIS,A907,-16.4625,-54.58027777,289.88
30328,2021-03-05,16:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,GO,ARAGARCAS,A013,-15.90277777,-52.24527777,327.35
299722,2019-09-23,21:00,0.0,979.7,979.9,979.2,457,33.1,21.8,35.0,33.1,21.8,19.7,52,42,52,286,0.0,0.0,CO,MT,JUARA,A914,-11.280158,-57.526641,263.43
317022,2020-02-03,06:00,0.0,963.5,963.9,963.4,-9999,23.4,22.3,23.8,23.4,22.3,22.2,93,91,93,302,0.0,0.0,CO,MT,BRASNORTE (NOVO MUNDO),A927,-12.52194443,-58.23138888,426.2
56020,2013-05-25,04:00,0.0,989.0,989.0,988.7,-9999,24.2,23.0,24.6,24.2,23.1,22.9,93,91,93,241,1.2,0.0,CO,MT,APIACAS,A910,-9.56388888,-57.3936111,220.0
1765,2003-03-15,13:00,0.0,954.0,954.0,953.7,-9999,24.3,21.6,24.3,22.1,21.8,21.0,94,84,85,234,2.5,0.6,CO,MT,CAMPO NOVO DOS PARECIS,A905,-13.78333333,-57.83333333,570.0
239994,2009-05-16,00:00,0.0,920.5,920.6,920.3,-9999,21.9,19.5,22.2,21.8,19.6,19.5,87,85,86,112,3.0,1.3,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
170988,2012-09-16,12:00,0.0,972.5,972.5,972.0,896,25.2,21.4,25.2,22.6,21.4,20.2,88,80,80,153,2.2,0.2,CO,MT,JUINA,A920,-11.36694443,-58.73305554,220.0
324888,2020-12-27,00:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,BRASNORTE (NOVO MUNDO),A927,-12.52194443,-58.23138888,426.2
34465,2018-09-10,19:00,0.0,957.9,958.6,957.9,2213,33.7,6.4,34.5,33.3,8.5,5.6,21,17,18,296,3.4,1.5,CO,MS,SIDROLANDIA,A754,-20.98166666,-54.97194443,464.0
145253,2008-09-14,05:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,NOVA MARINGA,A928,-13.06555555,-57.15611111,353.0
66936,2012-02-23,12:00,0.0,999.7,999.7,999.0,1472,28.2,23.2,28.5,26.3,23.8,22.9,86,72,74,317,7.0,3.1,CO,MS,NHUMIRIM,A717,-18.98888888,-56.62305554,91.0
360788,2013-11-17,20:00,0.0,941.2,941.5,941.1,535,25.4,21.6,27.9,25.4,23.6,20.6,82,62,79,259,7.4,3.0,CO,MT,COMODORO,A913,-13.70861111,-59.76277777,591.0
406041,2012-06-20,09:00,0.0,-9999.0,-9999.0,-9999.0,-9999,20.7,18.3,21.3,20.6,18.7,18.3,87,85,86,95,0.0,0.0,CO,MT,GUIRATINGA,A932,-16.34166666,-53.76611111,526.0
10390,2002-01-28,22:00,0.0,928.9,928.9,928.2,104,24.2,20.3,26.5,24.2,20.6,19.3,79,66,79,257,1.5,0.6,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
352271,2009-03-19,23:00,0.0,930.2,930.2,929.2,-9999,24.7,19.6,25.6,24.4,19.7,19.0,75,67,73,60,2.8,0.4,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
8108,2005-12-04,20:00,0.0,973.4,973.6,973.2,3828,25.9,22.9,26.1,25.7,23.2,22.7,84,83,84,79,4.1,2.8,CO,MT,RONDONOPOLIS,A907,-16.45,-54.56666666,284.0
97812,2018-09-18,10:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,S.J. DO RIO CLARO,A903,-13.45,-56.66666666,350.0
45074,2014-02-23,02:00,0.0,938.6,938.6,938.1,-9999,21.5,20.3,21.7,21.5,20.5,20.2,93,92,93,327,3.1,0.9,CO,MT,SANTO ANTONIO DO LESTE,A931,-14.92777777,-53.8836111,648.0
8187,2016-08-13,05:00,0.0,932.6,933.1,932.6,-9999,17.6,9.3,19.4,17.6,9.7,8.9,60,51,58,112,1.6,0.3,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
10144,2008-04-11,03:00,0.0,-9999.0,-9999.0,-9999.0,-9999,22.4,19.4,23.9,22.4,20.1,19.2,83,79,83,132,2.2,1.8,CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770.0
320812,2011-05-07,04:00,0.0,977.1,977.3,977.1,-9999,25.7,22.1,26.5,25.6,22.3,21.4,82,74,81,192,1.7,0.3,CO,GO,ARAGARCAS,A013,-15.90583333,-52.24388888,347.0
273587,2010-08-13,11:00,0.0,936.4,936.4,935.8,304,18.5,9.3,18.6,14.6,9.3,7.4,63,51,55,288,0.0,0.0,CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737.0
315269,2019-03-25,05:00,0.2,962.9,963.6,962.9,-9999,23.3,22.6,23.5,23.2,22.9,22.6,97,96,96,139,0.0,0.0,CO,MT,BRASNORTE (NOVO MUNDO),A927,-12.52194443,-58.23138888,426.2
217799,2013-06-30,07:00,0.0,979.0,979.1,978.7,-9999,19.9,18.9,20.5,19.9,19.2,18.8,94,92,94,146,0.9,0.0,CO,MT,GUARANTA DO NORTE,A906,-9.95,-54.88333333,320.0
300863,2008-02-09,23:00,0.0,966.9,966.9,966.4,-9999,23.2,22.2,23.7,23.2,22.6,22.2,95,93,95,329,1.6,0.8,CO,MT,SINOP,A917,-11.98222221,-55.56583333,371.0
2413,2015-08-13,15:00,0.0,922.2,923.0,922.2,2970,27.7,7.1,27.8,25.9,8.3,6.2,31,27,27,72,12.2,4.9,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0
229380,2019-03-09,12:00,0.0,922.6,922.7,922.3,2120,27.7,18.2,27.9,24.7,19.2,17.5,71,55,56,127,6.7,3.5,CO,GO,POSSE,A017,-14.08921,-46.366497,830.0
223127,2007-07-29,23:00,0.0,923.7,923.8,922.9,-9999,23.7,11.9,24.5,23.6,11.9,10.8,48,42,48,117,5.5,3.1,CO,GO,POSSE,A017,-14.08916666,-46.36638888,834.0
176077,2019-10-16,02:00,0.0,914.2,914.3,914.1,-9999,25.8,8.6,26.7,25.8,8.7,8.2,34,31,34,128,3.7,1.8,CO,GO,CATALAO,A034,-18.154779,-47.927614,900.72
298624,2018-02-19,16:00,0.0,977.8,978.8,977.8,1261,27.3,22.3,27.5,26.1,23.0,22.2,80,74,74,10,5.3,1.3,CO,MT,RONDONOPOLIS,A907,-16.45,-54.56666666,284.0
337911,2013-04-08,15:00,0.0,967.8,968.6,967.8,1942,29.0,21.6,29.4,28.7,22.4,21.4,68,64,65,103,4.3,1.8,CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424.0
363021,2019-09-05,21:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MS,FATIMA DO SUL,S708,-22.308694,-54.325833,340.0
74716,2019-01-16,15:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,MT,S.J. DO RIO CLARO,A903,-13.453981,-56.677323,339.59
226984,2015-11-29,16:00,0.0,962.0,962.9,962.0,3514,31.0,18.7,31.4,29.6,21.9,17.9,62,46,48,71,5.9,2.5,CO,MT,TANGARA DA SERRA,A902,-14.65,-57.41666666,321.5
94397,2008-07-17,05:00,0.0,962.9,963.2,962.8,-9999,12.8,9.6,15.6,12.7,10.4,9.1,81,71,81,173,2.8,0.1,CO,GO,ITUMBIARA,A035,-18.40972222,-49.19194444,488.0
